codifo_cif;descricao_cif;
b410;Funções cardíacas;
b710;Funções relacionadas com a mobilidade das articulações;
b730;Funções realacionadas com a força muscular;
b735;Funções relacionadas com o tónus muscular;
b740;Funções relacionadas com a resistência muscular;
b770;Funções relacionadas com o padrão de marcha;
s710;Estrutura da região da cabeça e do pescoço;
s730;Estrutura do membro superior;
s770;Estruturas musculoesqueléticas adicionais relacionadas ao movimento;
s760;Estrutura do tronco;
d410;Mudar as posições básicas do corpo;
d415;Manter a posição do corpo;
d430;Levantar e transportar objectos;
d435;Mover objectos com os membros inferiores;
d445;Utilização da mão e do braço;
d450;Andar;
d540;Vestir-se;